Symbol,Date,50 vs 20 EMA Cross with RSI
NUBL,2024-09-24,NUBL - 2024-09-24 00:00:00 - Bearish Close: 697.0 - RSI: 10.42
MNBBL,2024-09-24,MNBBL - 2024-09-24 00:00:00 - Bearish Close: 374.0 - RSI: 18.34
SHINE,2024-09-24,SHINE - 2024-09-24 00:00:00 - Bearish Close: 434.0 - RSI: 25.71
BNT,2024-09-24,BNT - 2024-09-24 00:00:00 - Bearish Close: 13725.0 - RSI: 28.48
SHIVM,2024-09-24,SHIVM - 2024-09-24 00:00:00 - Bearish Close: 530.3 - RSI: 11.35
MEN,2024-09-24,MEN - 2024-09-24 00:00:00 - Bearish Close: 609.0 - RSI: 24.14
NMLBBL,2024-09-24,NMLBBL - 2024-09-24 00:00:00 - Bearish Close: 737.0 - RSI: 21.70
SAHAS,2024-09-24,SAHAS - 2024-09-24 00:00:00 - Bearish Close: 515.0 - RSI: 31.26
BHDC,2024-09-24,BHDC - 2024-09-24 00:00:00 - Bearish Close: 540.1 - RSI: 41.89
PMHPL,2024-09-24,PMHPL - 2024-09-24 00:00:00 - Bearish Close: 249.8 - RSI: 28.03
CHL,2024-09-24,CHL - 2024-09-24 00:00:00 - Bearish Close: 323.0 - RSI: 22.27
NICLBSL,2024-09-24,NICLBSL - 2024-09-24 00:00:00 - Bearish Close: 674.0 - RSI: 12.79
CITY,2024-09-24,CITY - 2024-09-24 00:00:00 - Bearish Close: 746.0 - RSI: 18.31
ULHC,2024-09-24,ULHC - 2024-09-24 00:00:00 - Bearish Close: 383.0 - RSI: 40.78
NHDL,2024-09-24,NHDL - 2024-09-24 00:00:00 - Bearish Close: 521.4 - RSI: 27.48
UMRH,2024-09-24,UMRH - 2024-09-24 00:00:00 - Bearish Close: 423.9 - RSI: 30.09
MKHC,2024-09-23,MKHC - 2024-09-23 00:00:00 - Bearish Close: 353.0 - RSI: 53.83
NICA,2024-09-23,NICA - 2024-09-23 00:00:00 - Bearish Close: 444.5 - RSI: 36.18
AKJCL,2024-09-23,AKJCL - 2024-09-23 00:00:00 - Bearish Close: 202.0 - RSI: 49.31
MERO,2024-09-23,MERO - 2024-09-23 00:00:00 - Bearish Close: 731.1 - RSI: 30.32
GLBSL,2024-09-23,GLBSL - 2024-09-23 00:00:00 - Bearish Close: 1750.0 - RSI: 40.10
KPCL,2024-09-23,KPCL - 2024-09-23 00:00:00 - Bearish Close: 467.0 - RSI: 41.77
NMFBS,2024-09-22,NMFBS - 2024-09-22 00:00:00 - Bearish Close: 1392.0 - RSI: 26.03
JOSHI,2024-09-22,JOSHI - 2024-09-22 00:00:00 - Bearish Close: 313.5 - RSI: 50.79
GUFL,2024-09-22,GUFL - 2024-09-22 00:00:00 - Bearish Close: 717.0 - RSI: 45.10
RSDC,2024-09-22,RSDC - 2024-09-22 00:00:00 - Bearish Close: 702.0 - RSI: 34.27
MKHL,2024-09-22,MKHL - 2024-09-22 00:00:00 - Bearish Close: 500.0 - RSI: 23.22
SIKLES,2024-09-18,SIKLES - 2024-09-18 00:00:00 - Bearish Close: 678.0 - RSI: 45.51
FMDBL,2024-09-18,FMDBL - 2024-09-18 00:00:00 - Bearish Close: 719.0 - RSI: 39.27
PHCL,2024-09-18,PHCL - 2024-09-18 00:00:00 - Bearish Close: 339.1 - RSI: 32.07
NMBMF,2024-09-18,NMBMF - 2024-09-18 00:00:00 - Bearish Close: 722.0 - RSI: 21.23
NLICL,2024-09-18,NLICL - 2024-09-18 00:00:00 - Bearish Close: 593.9 - RSI: 37.99
DORDI,2024-09-18,DORDI - 2024-09-18 00:00:00 - Bearish Close: 458.5 - RSI: 50.26
PFL,2024-09-16,PFL - 2024-09-16 00:00:00 - Bearish Close: 580.5 - RSI: 35.31
CGH,2024-09-16,CGH - 2024-09-16 00:00:00 - Bearish Close: 925.0 - RSI: 40.37
AVYAN,2024-09-16,AVYAN - 2024-09-16 00:00:00 - Bearish Close: 949.0 - RSI: 32.08
SONA,2024-09-16,SONA - 2024-09-16 00:00:00 - Bearish Close: 460.5 - RSI: 34.47
USHEC,2024-09-16,USHEC - 2024-09-16 00:00:00 - Bearish Close: 480.0 - RSI: 32.25
SMHL,2024-09-15,SMHL - 2024-09-15 00:00:00 - Bearish Close: 603.0 - RSI: 47.28
MMKJL,2024-09-15,MMKJL - 2024-09-15 00:00:00 - Bearish Close: 522.0 - RSI: 49.86
KMCDB,2024-09-15,KMCDB - 2024-09-15 00:00:00 - Bearish Close: 1075.0 - RSI: 37.24
JFL,2024-09-15,JFL - 2024-09-15 00:00:00 - Bearish Close: 622.0 - RSI: 34.32
BNL,2024-09-15,BNL - 2024-09-15 00:00:00 - Bearish Close: 16600.0 - RSI: 46.40
GCIL,2024-09-12,GCIL - 2024-09-12 00:00:00 - Bearish Close: 510.0 - RSI: 30.99
SARBTM,2024-09-12,SARBTM - 2024-09-12 00:00:00 - Bearish Close: 829.0 - RSI: 35.66
ACLBSL,2024-09-11,ACLBSL - 2024-09-11 00:00:00 - Bearish Close: 1077.1 - RSI: 45.00
KMCDB,2024-09-11,KMCDB - 2024-09-11 00:00:00 - Bullish Close: 1119.9 - RSI: 49.35
SPC,2024-09-11,SPC - 2024-09-11 00:00:00 - Bearish Close: 545.0 - RSI: 33.19
KMCDB,2024-09-10,KMCDB - 2024-09-10 00:00:00 - Bearish Close: 1050.0 - RSI: 38.11
HDL,2024-09-10,HDL - 2024-09-10 00:00:00 - Bearish Close: 1330.2 - RSI: 24.27
MANDU,2024-09-09,MANDU - 2024-09-09 00:00:00 - Bearish Close: 999.0 - RSI: 12.59
TVCL,2024-09-09,TVCL - 2024-09-09 00:00:00 - Bearish Close: 484.8 - RSI: 34.69
KDL,2024-09-08,KDL - 2024-09-08 00:00:00 - Bearish Close: 1130.0 - RSI: 28.44
GLBSL,2024-09-08,GLBSL - 2024-09-08 00:00:00 - Bullish Close: 1980.0 - RSI: 61.15
DLBS,2024-09-05,DLBS - 2024-09-05 00:00:00 - Bullish Close: 1442.0 - RSI: 50.30
GVL,2024-09-05,GVL - 2024-09-05 00:00:00 - Bearish Close: 522.0 - RSI: 17.20
LLBS,2024-09-05,LLBS - 2024-09-05 00:00:00 - Bearish Close: 1170.0 - RSI: 45.90
SMATA,2024-09-02,SMATA - 2024-09-02 00:00:00 - Bearish Close: 952.0 - RSI: 41.62
SWMF,2024-09-02,SWMF - 2024-09-02 00:00:00 - Bearish Close: 864.0 - RSI: 12.50
MKJC,2024-09-01,MKJC - 2024-09-01 00:00:00 - Bearish Close: 507.0 - RSI: 13.04
GILB,2024-09-01,GILB - 2024-09-01 00:00:00 - Bearish Close: 1295.0 - RSI: 35.27
DLBS,2024-08-29,DLBS - 2024-08-29 00:00:00 - Bearish Close: 1254.0 - RSI: 45.30
CYCL,2024-08-29,CYCL - 2024-08-29 00:00:00 - Bearish Close: 1495.0 - RSI: 43.67
BNHC,2024-08-28,BNHC - 2024-08-28 00:00:00 - Bearish Close: 561.0 - RSI: 32.85
VLBS,2024-08-27,VLBS - 2024-08-27 00:00:00 - Bearish Close: 931.0 - RSI: 28.57
TPC,2024-08-25,TPC - 2024-08-25 00:00:00 - Bearish Close: 482.0 - RSI: 26.19
GLBSL,2024-08-22,GLBSL - 2024-08-22 00:00:00 - Bearish Close: 1760.0 - RSI: 26.97
NICD88,2024-08-18,NICD88 - 2024-08-18 00:00:00 - Bullish Close: 990.0 - RSI: 59.62
RBBD83,2024-08-15,RBBD83 - 2024-08-15 00:00:00 - Bullish Close: 1005.0 - RSI: 70.24
HLBSL,2024-08-13,HLBSL - 2024-08-13 00:00:00 - Bearish Close: 1068.9 - RSI: 33.02
AKJCL,2024-08-13,AKJCL - 2024-08-13 00:00:00 - Bullish Close: 246.7 - RSI: 72.47
ILBS,2024-08-08,ILBS - 2024-08-08 00:00:00 - Bearish Close: 1148.9 - RSI: 38.15
NABILD87,2024-08-08,NABILD87 - 2024-08-08 00:00:00 - Bullish Close: 1019.0 - RSI: 52.50
NABILD87,2024-08-07,NABILD87 - 2024-08-07 00:00:00 - Bearish Close: 999.6 - RSI: 46.76
CIZBD90,2024-08-01,CIZBD90 - 2024-08-01 00:00:00 - Bullish Close: 1041.0 - RSI: 48.36
JOSHI,2024-07-22,JOSHI - 2024-07-22 00:00:00 - Bullish Close: 324.0 - RSI: 72.35
PPL,2024-07-22,PPL - 2024-07-22 00:00:00 - Bullish Close: 523.9 - RSI: 74.78
CIZBD90,2024-07-21,CIZBD90 - 2024-07-21 00:00:00 - Bearish Close: 1002.0 - RSI: 45.08
HDL,2024-07-21,HDL - 2024-07-21 00:00:00 - Bullish Close: 1519.0 - RSI: 93.85
SJLIC,2024-07-21,SJLIC - 2024-07-21 00:00:00 - Bullish Close: 462.6 - RSI: 88.56
SNLI,2024-07-21,SNLI - 2024-07-21 00:00:00 - Bullish Close: 543.1 - RSI: 80.48
NICD88,2024-07-18,NICD88 - 2024-07-18 00:00:00 - Bearish Close: 952.0 - RSI: 40.62
SHIVM,2024-07-17,SHIVM - 2024-07-17 00:00:00 - Bullish Close: 535.9 - RSI: 86.53
RBCL,2024-07-17,RBCL - 2024-07-17 00:00:00 - Bullish Close: 14160.0 - RSI: 80.32
SHEL,2024-07-17,SHEL - 2024-07-17 00:00:00 - Bullish Close: 207.4 - RSI: 91.61
BNT,2024-07-17,BNT - 2024-07-17 00:00:00 - Bullish Close: 13900.0 - RSI: 73.85
AKJCL,2024-07-17,AKJCL - 2024-07-17 00:00:00 - Bearish Close: 179.0 - RSI: 39.94
AHPC,2024-07-17,AHPC - 2024-07-17 00:00:00 - Bullish Close: 203.0 - RSI: 93.05
HLI,2024-07-17,HLI - 2024-07-17 00:00:00 - Bullish Close: 415.9 - RSI: 79.06
HRL,2024-07-17,HRL - 2024-07-17 00:00:00 - Bullish Close: 608.0 - RSI: 71.02
NRIC,2024-07-17,NRIC - 2024-07-17 00:00:00 - Bullish Close: 718.9 - RSI: 74.86
SJCL,2024-07-16,SJCL - 2024-07-16 00:00:00 - Bullish Close: 299.3 - RSI: 84.53
MBJC,2024-07-16,MBJC - 2024-07-16 00:00:00 - Bullish Close: 325.0 - RSI: 69.56
SONA,2024-07-16,SONA - 2024-07-16 00:00:00 - Bullish Close: 484.8 - RSI: 80.90
AKPL,2024-07-16,AKPL - 2024-07-16 00:00:00 - Bullish Close: 202.5 - RSI: 89.50
PMHPL,2024-07-16,PMHPL - 2024-07-16 00:00:00 - Bullish Close: 257.5 - RSI: 79.33
CHL,2024-07-16,CHL - 2024-07-16 00:00:00 - Bullish Close: 337.5 - RSI: 65.34
CHCL,2024-07-16,CHCL - 2024-07-16 00:00:00 - Bullish Close: 498.0 - RSI: 89.47
UPCL,2024-07-16,UPCL - 2024-07-16 00:00:00 - Bullish Close: 224.0 - RSI: 82.79
GCIL,2024-07-16,GCIL - 2024-07-16 00:00:00 - Bullish Close: 522.0 - RSI: 76.12
RIDI,2024-07-16,RIDI - 2024-07-16 00:00:00 - Bullish Close: 209.5 - RSI: 87.70
SAHAS,2024-07-16,SAHAS - 2024-07-16 00:00:00 - Bullish Close: 538.8 - RSI: 69.34
GUFL,2024-07-16,GUFL - 2024-07-16 00:00:00 - Bullish Close: 742.9 - RSI: 53.16
SHPC,2024-07-16,SHPC - 2024-07-16 00:00:00 - Bullish Close: 354.0 - RSI: 80.80
MEL,2024-07-16,MEL - 2024-07-16 00:00:00 - Bullish Close: 251.0 - RSI: 80.04
NHPC,2024-07-15,NHPC - 2024-07-15 00:00:00 - Bullish Close: 162.9 - RSI: 77.24
BPCL,2024-07-15,BPCL - 2024-07-15 00:00:00 - Bullish Close: 310.0 - RSI: 85.39
NLIC,2024-07-15,NLIC - 2024-07-15 00:00:00 - Bullish Close: 619.0 - RSI: 77.98
RHPL,2024-07-15,RHPL - 2024-07-15 00:00:00 - Bullish Close: 295.0 - RSI: 73.15
SHL,2024-07-15,SHL - 2024-07-15 00:00:00 - Bullish Close: 442.0 - RSI: 66.17
PPCL,2024-07-15,PPCL - 2024-07-15 00:00:00 - Bullish Close: 253.9 - RSI: 62.85
HDHPC,2024-07-15,HDHPC - 2024-07-15 00:00:00 - Bullish Close: 149.0 - RSI: 83.07
LEC,2024-07-14,LEC - 2024-07-14 00:00:00 - Bullish Close: 196.0 - RSI: 75.00
GBIME,2024-07-14,GBIME - 2024-07-14 00:00:00 - Bullish Close: 200.0 - RSI: 83.38
SKBBL,2024-07-14,SKBBL - 2024-07-14 00:00:00 - Bullish Close: 856.0 - RSI: 80.77
API,2024-07-14,API - 2024-07-14 00:00:00 - Bullish Close: 188.0 - RSI: 75.95
UMHL,2024-07-14,UMHL - 2024-07-14 00:00:00 - Bullish Close: 258.0 - RSI: 74.88
GLH,2024-07-14,GLH - 2024-07-14 00:00:00 - Bullish Close: 221.0 - RSI: 60.09
NLICL,2024-07-11,NLICL - 2024-07-11 00:00:00 - Bullish Close: 581.0 - RSI: 72.28
GHL,2024-07-11,GHL - 2024-07-11 00:00:00 - Bullish Close: 158.8 - RSI: 69.40
IGI,2024-07-11,IGI - 2024-07-11 00:00:00 - Bullish Close: 556.9 - RSI: 73.32
SICL,2024-07-11,SICL - 2024-07-11 00:00:00 - Bullish Close: 719.9 - RSI: 74.63
HBL,2024-07-11,HBL - 2024-07-11 00:00:00 - Bullish Close: 201.6 - RSI: 84.57
KKHC,2024-07-11,KKHC - 2024-07-11 00:00:00 - Bullish Close: 236.0 - RSI: 61.11
NIMB,2024-07-11,NIMB - 2024-07-11 00:00:00 - Bullish Close: 171.5 - RSI: 76.70
MHNL,2024-07-11,MHNL - 2024-07-11 00:00:00 - Bullish Close: 249.0 - RSI: 58.16
HIDCL,2024-07-11,HIDCL - 2024-07-11 00:00:00 - Bullish Close: 172.0 - RSI: 73.38
RNLI,2024-07-10,RNLI - 2024-07-10 00:00:00 - Bullish Close: 455.3 - RSI: 72.74
NIFRA,2024-07-10,NIFRA - 2024-07-10 00:00:00 - Bullish Close: 208.6 - RSI: 72.01
LIFEINSU,2024-07-10,LIFEINSU - 2024-07-10 00:00:00 - Bullish Close: 10409.03 - RSI: 68.17
LSL,2024-07-10,LSL - 2024-07-10 00:00:00 - Bullish Close: 165.0 - RSI: 67.59
SPDL,2024-07-10,SPDL - 2024-07-10 00:00:00 - Bullish Close: 241.0 - RSI: 31.00
SRLI,2024-07-10,SRLI - 2024-07-10 00:00:00 - Bullish Close: 455.0 - RSI: 68.93
ALICL,2024-07-09,ALICL - 2024-07-09 00:00:00 - Bullish Close: 590.0 - RSI: 70.15
MNBBL,2024-07-09,MNBBL - 2024-07-09 00:00:00 - Bullish Close: 358.4 - RSI: 63.74
KBL,2024-07-09,KBL - 2024-07-09 00:00:00 - Bullish Close: 143.5 - RSI: 68.46
MHNL,2024-07-09,MHNL - 2024-07-09 00:00:00 - Bearish Close: 235.6 - RSI: 40.38
PMLI,2024-07-09,PMLI - 2024-07-09 00:00:00 - Bullish Close: 538.0 - RSI: 70.13
